(pytorch) nech@LAPTOP-TDE1VV6L:~/projects/python_projects/sea_battle_ai$ python bin/trainer.py --config config/ddqn_v0.1.1.toml --save_path models/
episode: 0 | episode reward: -184.32 | training loss: N/A | ave steps: 2.27 | epsilon: 1.00
episode: 10100 | episode reward: 0.82 | training loss: 0.00603 | ave steps: 26.3 | epsilon: 0.01
episode: 10200 | episode reward: 0.92 | training loss: 0.00607 | ave steps: 26.88 | epsilon: 0.01
episode: 10300 | episode reward: 0.72 | training loss: 0.00654 | ave steps: 27.08 | epsilon: 0.01
episode: 10400 | episode reward: 0.85 | training loss: 0.00533 | ave steps: 25.89 | epsilon: 0.01
episode: 10500 | episode reward: 0.82 | training loss: 0.00582 | ave steps: 25.33 | epsilon: 0.01
episode: 10600 | episode reward: 0.85 | training loss: 0.00593 | ave steps: 27.06 | epsilon: 0.01
episode: 10700 | episode reward: 0.84 | training loss: 0.00528 | ave steps: 27.36 | epsilon: 0.01
episode: 10800 | episode reward: 0.87 | training loss: 0.00569 | ave steps: 25.05 | epsilon: 0.01
episode: 10900 | episode reward: 0.83 | training loss: 0.00622 | ave steps: 26.15 | epsilon: 0.01
episode: 11000 | episode reward: 0.84 | training loss: 0.00607 | ave steps: 26.64 | epsilon: 0.01
episode: 11100 | episode reward: 0.78 | training loss: 0.00583 | ave steps: 26.12 | epsilon: 0.01
episode: 11200 | episode reward: 0.79 | training loss: 0.00624 | ave steps: 26.14 | epsilon: 0.01
episode: 11300 | episode reward: 0.92 | training loss: 0.00613 | ave steps: 26.28 | epsilon: 0.01
episode: 11400 | episode reward: 0.96 | training loss: 0.00649 | ave steps: 26.17 | epsilon: 0.01
episode: 11500 | episode reward: 0.83 | training loss: 0.00582 | ave steps: 25.54 | epsilon: 0.01
episode: 11600 | episode reward: 0.71 | training loss: 0.00562 | ave steps: 26.1 | epsilon: 0.01
episode: 11700 | episode reward: 0.82 | training loss: 0.00575 | ave steps: 26.84 | epsilon: 0.01
episode: 11800 | episode reward: 0.77 | training loss: 0.00550 | ave steps: 25.3 | epsilon: 0.01
episode: 11900 | episode reward: 0.77 | training loss: 0.00608 | ave steps: 25.6 | epsilon: 0.01
episode: 12000 | episode reward: 0.83 | training loss: 0.00543 | ave steps: 26.02 | epsilon: 0.01
episode: 12100 | episode reward: 0.91 | training loss: 0.00546 | ave steps: 26.45 | epsilon: 0.01
episode: 12200 | episode reward: 0.80 | training loss: 0.00571 | ave steps: 26.29 | epsilon: 0.01
episode: 12300 | episode reward: 0.84 | training loss: 0.00642 | ave steps: 26.91 | epsilon: 0.01
episode: 12400 | episode reward: 0.84 | training loss: 0.00499 | ave steps: 26.32 | epsilon: 0.01
episode: 12500 | episode reward: 0.84 | training loss: 0.00580 | ave steps: 26.03 | epsilon: 0.01
episode: 12600 | episode reward: -0.21 | training loss: 0.00464 | ave steps: 26.04 | epsilon: 0.01
episode: 12700 | episode reward: 0.89 | training loss: 0.00611 | ave steps: 26.53 | epsilon: 0.01
episode: 12800 | episode reward: 0.85 | training loss: 0.00496 | ave steps: 26.32 | epsilon: 0.01
episode: 12900 | episode reward: 0.81 | training loss: 0.00577 | ave steps: 26.71 | epsilon: 0.01
episode: 13000 | episode reward: 0.82 | training loss: 0.00556 | ave steps: 27.44 | epsilon: 0.01
episode: 13100 | episode reward: 0.78 | training loss: 0.00417 | ave steps: 27.87 | epsilon: 0.01
episode: 13200 | episode reward: 0.81 | training loss: 0.00564 | ave steps: 26.56 | epsilon: 0.01
episode: 13300 | episode reward: 0.85 | training loss: 0.00548 | ave steps: 27.28 | epsilon: 0.01
episode: 13400 | episode reward: 0.84 | training loss: 0.00510 | ave steps: 26.98 | epsilon: 0.01
episode: 13500 | episode reward: 0.90 | training loss: 0.00518 | ave steps: 26.4 | epsilon: 0.01
episode: 13600 | episode reward: 0.81 | training loss: 0.00481 | ave steps: 27.96 | epsilon: 0.01
episode: 13700 | episode reward: -0.09 | training loss: 0.00376 | ave steps: 25.92 | epsilon: 0.01
episode: 13800 | episode reward: 0.78 | training loss: 0.00480 | ave steps: 26.37 | epsilon: 0.01
episode: 13900 | episode reward: 0.95 | training loss: 0.00472 | ave steps: 28.14 | epsilon: 0.01
episode: 14000 | episode reward: 0.79 | training loss: 0.00429 | ave steps: 28.32 | epsilon: 0.01
episode: 14100 | episode reward: 0.71 | training loss: 0.00363 | ave steps: 27.2 | epsilon: 0.01
episode: 14200 | episode reward: 0.71 | training loss: 0.00416 | ave steps: 27.75 | epsilon: 0.01
episode: 14300 | episode reward: 0.80 | training loss: 0.00419 | ave steps: 26.87 | epsilon: 0.01
episode: 14400 | episode reward: 0.83 | training loss: 0.00381 | ave steps: 27.36 | epsilon: 0.01
episode: 14500 | episode reward: 0.85 | training loss: 0.00404 | ave steps: 27.01 | epsilon: 0.01
episode: 14600 | episode reward: 0.97 | training loss: 0.00345 | ave steps: 27.46 | epsilon: 0.01
episode: 14700 | episode reward: 0.91 | training loss: 0.00349 | ave steps: 28.38 | epsilon: 0.01
episode: 14800 | episode reward: 0.82 | training loss: 0.00416 | ave steps: 27.81 | epsilon: 0.01
episode: 14900 | episode reward: 0.78 | training loss: 0.00356 | ave steps: 28.04 | epsilon: 0.01
